dataSubmitter,traceabilityLotCode,productDescription,quantity,unitOfMeasure,harvestDateAndLocation,traceabilityLotCodeSourceLocation,cteDate,referenceDocumentTypeNumber,contaminated,gtin,sgln,pgln,eventID,parentID
Fresh Fisheries,urn:epc:class:lgtin:1066514.419093.b206c3056c9636c03,grouper,223,kg,"2023-06-20 - 2023-06-23
Major Fishing Area 2
Southern Atlantic",1066514.29921,2023-06-25,urn:epcglobal:epcis:LANDING.1066514,0,urn:epc:idpat:sgtin:1066514.419093,urn:epc:id:sgln:1066514.29921,urn:epc:id:pgln:1066514.29921,1066514.29921.2111580,
Marine Mariscos,urn:epc:class:lgtin:1165106.681796.1c2defc4d012fa83a,amberjack,962,kg,"2023-06-11 - 2023-06-13
Major Fishing Area 9
Central Atlantic",1165106.59890,2023-06-15,urn:epcglobal:epcis:LANDING.1165106,0,urn:epc:idpat:sgtin:1165106.681796,urn:epc:id:sgln:1165106.59890,urn:epc:id:pgln:1165106.59890,1165106.59890.2170622,
Wave Coast,urn:epc:class:lgtin:0675459.200472.1241e7cd44d353144,mackerel,83,kg,"2023-06-17 - 2023-06-24
Major Fishing Area 2
Central Atlantic",0675459.59752,2023-06-27,urn:epcglobal:epcis:LANDING.0675459,0,urn:epc:idpat:sgtin:0675459.200472,urn:epc:id:sgln:0675459.59752,urn:epc:id:pgln:0675459.59752,0675459.59752.9137143,
Ocean Coast,urn:epc:class:lgtin:1366008.777254.c83908955cf78e249,shrimp,767,lb,"2023-07-04 - 2023-07-09
Major Fishing Area 9
Southern Atlantic",1366008.31251,2023-07-12,urn:epcglobal:epcis:LANDING.1366008,0,urn:epc:idpat:sgtin:1366008.777254,urn:epc:id:sgln:1366008.31251,urn:epc:id:pgln:1366008.31251,1366008.31251.3083830,
Ocean Aquatics,urn:epc:class:lgtin:0739683.844127.0540ebf99507d4952,amberjack,45,lb,"2023-06-26 - 2023-07-06
Major Fishing Area 1
Northern Atlantic",0739683.50788,2023-07-07,urn:epcglobal:epcis:LANDING.0739683,0,urn:epc:idpat:sgtin:0739683.844127,urn:epc:id:sgln:0739683.50788,urn:epc:id:pgln:0739683.50788,0739683.50788.6401547,
Coastal Catchers,urn:epc:class:lgtin:1372683.417157.d647b634bae8af680,oysters,215,kg,"2023-06-11 - 2023-06-20
Major Fishing Area 2
Northern Atlantic",1372683.92429,2023-06-23,urn:epcglobal:epcis:LANDING.1372683,0,urn:epc:idpat:sgtin:1372683.417157,urn:epc:id:sgln:1372683.92429,urn:epc:id:pgln:1372683.92429,1372683.92429.1839724,
Deep Delights,urn:epc:class:lgtin:0831833.525934.3494bddfa81637e0a,salmon,463,lb,"2023-06-28 - 2023-07-02
Major Fishing Area 4
Northern Atlantic",0831833.69717,2023-07-05,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.525934,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.5801010,
Tidal Catchers,urn:epc:class:lgtin:1018559.119334.1c2d5182f946c2caa,cod,288,lb,"2023-07-07 - 2023-07-16
Major Fishing Area 10
Northern Atlantic",1018559.53355,2023-07-18,urn:epcglobal:epcis:LANDING.1018559,0,urn:epc:idpat:sgtin:1018559.119334,urn:epc:id:sgln:1018559.53355,urn:epc:id:pgln:1018559.53355,1018559.53355.4424633,
Coastal Delights,urn:epc:class:lgtin:0629337.943106.6e6a607b0dc697016,barracuda,228,lb,"2023-06-27 - 2023-06-30
Major Fishing Area 3
Central Atlantic",0629337.36048,2023-07-03,urn:epcglobal:epcis:LANDING.0629337,0,urn:epc:idpat:sgtin:0629337.943106,urn:epc:id:sgln:0629337.36048,urn:epc:id:pgln:0629337.36048,0629337.36048.4418410,
Tidal Aquatics,urn:epc:class:lgtin:1251343.974112.429ea577d12703a65,snapper,96,lb,"2023-07-02 - 2023-07-07
Major Fishing Area 7
Southern Pacific",1251343.51485,2023-07-10,urn:epcglobal:epcis:LANDING.1251343,0,urn:epc:idpat:sgtin:1251343.974112,urn:epc:id:sgln:1251343.51485,urn:epc:id:pgln:1251343.51485,1251343.51485.1361840,
Aqua Coast,urn:epc:class:lgtin:1138491.641005.1d4389638ec527173,oysters,797,kg,"2023-06-20 - 2023-06-23
Major Fishing Area 9
Northern Atlantic",1138491.74552,2023-06-26,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.641005,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.2004206,
Ocean Aquatics,urn:epc:class:lgtin:0739683.722964.e26d7e278873c5385,swordfish,850,kg,"2023-07-15 - 2023-07-25
Major Fishing Area 9
Central Atlantic",0739683.50788,2023-07-26,urn:epcglobal:epcis:LANDING.0739683,0,urn:epc:idpat:sgtin:0739683.722964,urn:epc:id:sgln:0739683.50788,urn:epc:id:pgln:0739683.50788,0739683.50788.4171618,
Fresh Bay,urn:epc:class:lgtin:1321636.273685.a7d04e0998f68d0ba,trout,641,lb,"2023-06-12 - 2023-06-20
Major Fishing Area 6
Central Pacific",1321636.98872,2023-06-23,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.273685,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.2306786,
Aqua Coast,urn:epc:class:lgtin:1138491.143871.2a90bd25c03086828,cod,123,lb,"2023-06-13 - 2023-06-23
Major Fishing Area 7
Southern Atlantic",1138491.74552,2023-06-26,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.143871,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.9631667,
Tidal Bay,urn:epc:class:lgtin:0726181.424404.be0a03a904bade82e,crab,743,lb,"2023-07-06 - 2023-07-08
Major Fishing Area 6
Northern Atlantic",0726181.86044,2023-07-11,urn:epcglobal:epcis:LANDING.0726181,0,urn:epc:idpat:sgtin:0726181.424404,urn:epc:id:sgln:0726181.86044,urn:epc:id:pgln:0726181.86044,0726181.86044.9126919,
Fresh Seafoods,urn:epc:class:lgtin:0989423.937842.c72af277ea55c6dc4,pollock,703,kg,"2023-06-24 - 2023-06-30
Major Fishing Area 7
Southern Pacific",0989423.71961,2023-07-01,urn:epcglobal:epcis:LANDING.0989423,0,urn:epc:idpat:sgtin:0989423.937842,urn:epc:id:sgln:0989423.71961,urn:epc:id:pgln:0989423.71961,0989423.71961.8534670,
Marine Mariscos,urn:epc:class:lgtin:1140380.986245.00257720768ed8091,trout,313,kg,"2023-06-29 - 2023-07-04
Major Fishing Area 10
Central Atlantic",1140380.27822,2023-07-07,urn:epcglobal:epcis:LANDING.1140380,0,urn:epc:idpat:sgtin:1140380.986245,urn:epc:id:sgln:1140380.27822,urn:epc:id:pgln:1140380.27822,1140380.27822.8203134,
Deep Bay,urn:epc:class:lgtin:1054017.348959.d3bf0db3773f6ecaa,lobster,604,lb,"2023-06-01 - 2023-06-09
Major Fishing Area 4
Southern Atlantic",1054017.16487,2023-06-10,urn:epcglobal:epcis:LANDING.1054017,0,urn:epc:idpat:sgtin:1054017.348959,urn:epc:id:sgln:1054017.16487,urn:epc:id:pgln:1054017.16487,1054017.16487.4706900,
Fresh Aquatics,urn:epc:class:lgtin:0814012.688248.18b7babd69eb47a7f,tilapia,65,lb,"2023-06-04 - 2023-06-14
Major Fishing Area 8
Southern Atlantic",0814012.13007,2023-06-17,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.688248,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.1722052,
Fresh Fisheries,urn:epc:class:lgtin:0885856.332790.32ca53397c82f8732,amberjack,436,lb,"2023-07-07 - 2023-07-13
Major Fishing Area 5
Central Atlantic",0885856.39050,2023-07-16,urn:epcglobal:epcis:LANDING.0885856,0,urn:epc:idpat:sgtin:0885856.332790,urn:epc:id:sgln:0885856.39050,urn:epc:id:pgln:0885856.39050,0885856.39050.3621098,
Aqua Coast,urn:epc:class:lgtin:1138491.440814.eff5b4886cf4feadb,lobster,468,kg,"2023-06-13 - 2023-06-20
Major Fishing Area 1
Northern Atlantic",1138491.74552,2023-06-22,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.440814,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.5450294,
Deep Aquatics,urn:epc:class:lgtin:0973119.951405.5b7f1d9f87d0fec29,snapper,671,lb,"2023-07-06 - 2023-07-13
Major Fishing Area 1
Northern Atlantic",0973119.45513,2023-07-16,urn:epcglobal:epcis:LANDING.0973119,0,urn:epc:idpat:sgtin:0973119.951405,urn:epc:id:sgln:0973119.45513,urn:epc:id:pgln:0973119.45513,0973119.45513.1144868,
Marine Mariscos,urn:epc:class:lgtin:1165106.820780.3ba15b8b8b99221b2,lobster,644,lb,"2023-06-12 - 2023-06-14
Major Fishing Area 6
Northern Atlantic",1165106.59890,2023-06-15,urn:epcglobal:epcis:LANDING.1165106,0,urn:epc:idpat:sgtin:1165106.820780,urn:epc:id:sgln:1165106.59890,urn:epc:id:pgln:1165106.59890,1165106.59890.1725380,
Deep Bay,urn:epc:class:lgtin:0854321.125615.9a6b051313728bf9c,mussels,961,lb,"2023-07-01 - 2023-07-04
Major Fishing Area 6
Northern Atlantic",0854321.52130,2023-07-07,urn:epcglobal:epcis:LANDING.0854321,0,urn:epc:idpat:sgtin:0854321.125615,urn:epc:id:sgln:0854321.52130,urn:epc:id:pgln:0854321.52130,0854321.52130.3881973,
Tidal Coast,urn:epc:class:lgtin:1392244.394746.dc656ea51a2c2303f,pollock,55,kg,"2023-07-05 - 2023-07-09
Major Fishing Area 3
Central Atlantic",1392244.97244,2023-07-12,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.394746,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.8783018,
Tidal Bay,urn:epc:class:lgtin:0920719.446209.8513feb513deb9d7d,trout,561,kg,"2023-07-03 - 2023-07-13
Major Fishing Area 2
Northern Atlantic",0920719.84315,2023-07-16,urn:epcglobal:epcis:LANDING.0920719,0,urn:epc:idpat:sgtin:0920719.446209,urn:epc:id:sgln:0920719.84315,urn:epc:id:pgln:0920719.84315,0920719.84315.3503973,
Sea Maritime,urn:epc:class:lgtin:0746852.818426.75c089451cc7fad80,tuna,627,lb,"2023-07-12 - 2023-07-14
Major Fishing Area 10
Northern Atlantic",0746852.86054,2023-07-17,urn:epcglobal:epcis:LANDING.0746852,0,urn:epc:idpat:sgtin:0746852.818426,urn:epc:id:sgln:0746852.86054,urn:epc:id:pgln:0746852.86054,0746852.86054.8980894,
Harbor Delights,urn:epc:class:lgtin:0655191.651919.3f5048385e6a661e0,amberjack,526,lb,"2023-06-13 - 2023-06-22
Major Fishing Area 4
Central Atlantic",0655191.79928,2023-06-24,urn:epcglobal:epcis:LANDING.0655191,0,urn:epc:idpat:sgtin:0655191.651919,urn:epc:id:sgln:0655191.79928,urn:epc:id:pgln:0655191.79928,0655191.79928.1009771,
Deep Delights,urn:epc:class:lgtin:0641089.736643.f42953eb5a0ce5543,barracuda,133,kg,"2023-06-08 - 2023-06-16
Major Fishing Area 2
Northern Atlantic",0641089.50508,2023-06-17,urn:epcglobal:epcis:LANDING.0641089,0,urn:epc:idpat:sgtin:0641089.736643,urn:epc:id:sgln:0641089.50508,urn:epc:id:pgln:0641089.50508,0641089.50508.2341474,
Deep Mariscos,urn:epc:class:lgtin:1158698.930598.9add8721ac91498b7,lobster,362,lb,"2023-06-22 - 2023-06-28
Major Fishing Area 8
Central Atlantic",1158698.11424,2023-06-30,urn:epcglobal:epcis:LANDING.1158698,0,urn:epc:idpat:sgtin:1158698.930598,urn:epc:id:sgln:1158698.11424,urn:epc:id:pgln:1158698.11424,1158698.11424.5581520,
Ocean Catches,urn:epc:class:lgtin:0936963.959649.a77e3cd4519812797,snapper,340,kg,"2023-07-08 - 2023-07-15
Major Fishing Area 2
Southern Atlantic",0936963.69103,2023-07-18,urn:epcglobal:epcis:LANDING.0936963,0,urn:epc:idpat:sgtin:0936963.959649,urn:epc:id:sgln:0936963.69103,urn:epc:id:pgln:0936963.69103,0936963.69103.7521247,
Fresh Maritime,urn:epc:class:lgtin:1016573.296650.aae2707367d4e3ba6,barracuda,454,lb,"2023-06-13 - 2023-06-17
Major Fishing Area 10
Southern Atlantic",1016573.25600,2023-06-18,urn:epcglobal:epcis:LANDING.1016573,0,urn:epc:idpat:sgtin:1016573.296650,urn:epc:id:sgln:1016573.25600,urn:epc:id:pgln:1016573.25600,1016573.25600.9875453,
Deep Fisheries,urn:epc:class:lgtin:1090537.268962.dff0d22beb88ef21e,tilapia,871,lb,"2023-06-16 - 2023-06-19
Major Fishing Area 5
Northern Pacific",1090537.28416,2023-06-20,urn:epcglobal:epcis:LANDING.1090537,0,urn:epc:idpat:sgtin:1090537.268962,urn:epc:id:sgln:1090537.28416,urn:epc:id:pgln:1090537.28416,1090537.28416.3305828,
Marine Delights,urn:epc:class:lgtin:0990493.777483.6889044b2c76d40ce,barracuda,201,kg,"2023-07-17 - 2023-07-24
Major Fishing Area 10
Central Atlantic",0990493.24933,2023-07-26,urn:epcglobal:epcis:LANDING.0990493,0,urn:epc:idpat:sgtin:0990493.777483,urn:epc:id:sgln:0990493.24933,urn:epc:id:pgln:0990493.24933,0990493.24933.5809605,
Coastal Catchers,urn:epc:class:lgtin:1122227.990402.06adddddf4dcb4621,barracuda,50,lb,"2023-06-12 - 2023-06-15
Major Fishing Area 2
Central Atlantic",1122227.55899,2023-06-16,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.990402,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.2850296,
Coastal Mariscos,urn:epc:class:lgtin:1114768.939779.836252eb16cc6706e,amberjack,279,kg,"2023-07-08 - 2023-07-14
Major Fishing Area 3
Central Atlantic",1114768.13145,2023-07-15,urn:epcglobal:epcis:LANDING.1114768,0,urn:epc:idpat:sgtin:1114768.939779,urn:epc:id:sgln:1114768.13145,urn:epc:id:pgln:1114768.13145,1114768.13145.4136263,
Ocean Seafoods,urn:epc:class:lgtin:1296690.264315.cc1d5b04a9c904d1f,grouper,513,kg,"2023-06-25 - 2023-06-30
Major Fishing Area 9
Northern Atlantic",1296690.48929,2023-07-02,urn:epcglobal:epcis:LANDING.1296690,0,urn:epc:idpat:sgtin:1296690.264315,urn:epc:id:sgln:1296690.48929,urn:epc:id:pgln:1296690.48929,1296690.48929.3491393,
Harbor Maritime,urn:epc:class:lgtin:0798342.319561.ad40f526519f9db64,crayfish,418,lb,"2023-06-29 - 2023-07-02
Major Fishing Area 5
Central Atlantic",0798342.16978,2023-07-05,urn:epcglobal:epcis:LANDING.0798342,0,urn:epc:idpat:sgtin:0798342.319561,urn:epc:id:sgln:0798342.16978,urn:epc:id:pgln:0798342.16978,0798342.16978.9288513,
Deep Bay,urn:epc:class:lgtin:0952084.304294.e3867b8760b007c70,oysters,679,lb,"2023-06-11 - 2023-06-18
Major Fishing Area 6
Southern Atlantic",0952084.72068,2023-06-19,urn:epcglobal:epcis:LANDING.0952084,0,urn:epc:idpat:sgtin:0952084.304294,urn:epc:id:sgln:0952084.72068,urn:epc:id:pgln:0952084.72068,0952084.72068.7035412,
Deep Bay,urn:epc:class:lgtin:0952084.371736.60a57d6cb4dfa0953,trout,42,kg,"2023-07-18 - 2023-07-23
Major Fishing Area 9
Southern Atlantic",0952084.72068,2023-07-26,urn:epcglobal:epcis:LANDING.0952084,0,urn:epc:idpat:sgtin:0952084.371736,urn:epc:id:sgln:0952084.72068,urn:epc:id:pgln:0952084.72068,0952084.72068.8858920,
Tidal Aquatics,urn:epc:class:lgtin:1251343.438869.3dbae5b915034ac8a,mussels,840,kg,"2023-07-06 - 2023-07-16
Major Fishing Area 3
Central Pacific",1251343.51485,2023-07-17,urn:epcglobal:epcis:LANDING.1251343,0,urn:epc:idpat:sgtin:1251343.438869,urn:epc:id:sgln:1251343.51485,urn:epc:id:pgln:1251343.51485,1251343.51485.9430824,
Fresh Bay,urn:epc:class:lgtin:1321636.510680.fa021935c886e8e7d,cod,200,lb,"2023-07-15 - 2023-07-20
Major Fishing Area 6
Southern Pacific",1321636.98872,2023-07-22,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.510680,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.1939726,
Aqua Coast,urn:epc:class:lgtin:1138491.214832.e0aae51452b015105,mackerel,473,kg,"2023-06-08 - 2023-06-16
Major Fishing Area 7
Northern Atlantic",1138491.74552,2023-06-19,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.214832,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.7010579,
Sea Seafoods,urn:epc:class:lgtin:1252904.738172.c94a5a51abb864151,barracuda,89,lb,"2023-07-16 - 2023-07-18
Major Fishing Area 5
Southern Pacific",1252904.91822,2023-07-20,urn:epcglobal:epcis:LANDING.1252904,0,urn:epc:idpat:sgtin:1252904.738172,urn:epc:id:sgln:1252904.91822,urn:epc:id:pgln:1252904.91822,1252904.91822.3561080,
Wave Aquatics,urn:epc:class:lgtin:0971544.631225.d8b0d11d932e7b4f8,mussels,38,lb,"2023-06-13 - 2023-06-22
Major Fishing Area 6
Northern Atlantic",0971544.81268,2023-06-25,urn:epcglobal:epcis:LANDING.0971544,0,urn:epc:idpat:sgtin:0971544.631225,urn:epc:id:sgln:0971544.81268,urn:epc:id:pgln:0971544.81268,0971544.81268.3417830,
Deep Bay,urn:epc:class:lgtin:0952084.645038.197ae9b470d62cfd9,pollock,894,lb,"2023-07-10 - 2023-07-14
Major Fishing Area 1
Southern Atlantic",0952084.72068,2023-07-16,urn:epcglobal:epcis:LANDING.0952084,0,urn:epc:idpat:sgtin:0952084.645038,urn:epc:id:sgln:0952084.72068,urn:epc:id:pgln:0952084.72068,0952084.72068.8497767,
Tidal Maritime,urn:epc:class:lgtin:0618737.526179.7ba9127b756b76238,mussels,374,lb,"2023-06-28 - 2023-07-06
Major Fishing Area 6
Southern Atlantic",0618737.79714,2023-07-07,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.526179,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.8437290,
Tidal Maritime,urn:epc:class:lgtin:0842166.713766.39da11e0843587d93,pollock,559,lb,"2023-07-08 - 2023-07-15
Major Fishing Area 5
Central Atlantic",0842166.53150,2023-07-16,urn:epcglobal:epcis:LANDING.0842166,0,urn:epc:idpat:sgtin:0842166.713766,urn:epc:id:sgln:0842166.53150,urn:epc:id:pgln:0842166.53150,0842166.53150.9487835,
Tidal Aquatics,urn:epc:class:lgtin:1251343.379953.fc4fc99f72345e22d,cod,953,kg,"2023-06-18 - 2023-06-22
Major Fishing Area 8
Southern Pacific",1251343.51485,2023-06-24,urn:epcglobal:epcis:LANDING.1251343,0,urn:epc:idpat:sgtin:1251343.379953,urn:epc:id:sgln:1251343.51485,urn:epc:id:pgln:1251343.51485,1251343.51485.2186438,
Deep Catches,urn:epc:class:lgtin:0872748.745428.894803a47717c3ffc,crayfish,691,lb,"2023-06-02 - 2023-06-11
Major Fishing Area 6
Northern Atlantic",0872748.91527,2023-06-13,urn:epcglobal:epcis:LANDING.0872748,0,urn:epc:idpat:sgtin:0872748.745428,urn:epc:id:sgln:0872748.91527,urn:epc:id:pgln:0872748.91527,0872748.91527.6914240,
Marine Coast,urn:epc:class:lgtin:1270927.972464.2c06b7437a3ed941b,crayfish,29,lb,"2023-07-01 - 2023-07-04
Major Fishing Area 2
Central Atlantic",1270927.68344,2023-07-06,urn:epcglobal:epcis:LANDING.1270927,0,urn:epc:idpat:sgtin:1270927.972464,urn:epc:id:sgln:1270927.68344,urn:epc:id:pgln:1270927.68344,1270927.68344.4752816,
Marine Maritime,urn:epc:class:lgtin:1087774.192400.6335396214e5d6983,jack fish,477,kg,"2023-07-16 - 2023-07-18
Major Fishing Area 8
Northern Atlantic",1087774.52772,2023-07-19,urn:epcglobal:epcis:LANDING.1087774,0,urn:epc:idpat:sgtin:1087774.192400,urn:epc:id:sgln:1087774.52772,urn:epc:id:pgln:1087774.52772,1087774.52772.9475982,
Tidal Aquatics,urn:epc:class:lgtin:1251343.838099.25dea7a1bc322b7de,pollock,711,lb,"2023-06-20 - 2023-06-26
Major Fishing Area 9
Central Pacific",1251343.51485,2023-06-27,urn:epcglobal:epcis:LANDING.1251343,0,urn:epc:idpat:sgtin:1251343.838099,urn:epc:id:sgln:1251343.51485,urn:epc:id:pgln:1251343.51485,1251343.51485.7434001,
Fresh Aquatics,urn:epc:class:lgtin:0812950.533045.963ee92b39706a6cb,salmon,938,lb,"2023-07-13 - 2023-07-23
Major Fishing Area 1
Northern Atlantic",0812950.51420,2023-07-24,urn:epcglobal:epcis:LANDING.0812950,0,urn:epc:idpat:sgtin:0812950.533045,urn:epc:id:sgln:0812950.51420,urn:epc:id:pgln:0812950.51420,0812950.51420.4759858,
Fresh Seafoods,urn:epc:class:lgtin:0989423.283115.89578f19094116b57,mackerel,317,kg,"2023-06-10 - 2023-06-14
Major Fishing Area 2
Central Pacific",0989423.71961,2023-06-17,urn:epcglobal:epcis:LANDING.0989423,0,urn:epc:idpat:sgtin:0989423.283115,urn:epc:id:sgln:0989423.71961,urn:epc:id:pgln:0989423.71961,0989423.71961.2853887,
Tidal Maritime,urn:epc:class:lgtin:0618737.165815.63191392843835dd2,salmon,42,lb,"2023-06-29 - 2023-07-05
Major Fishing Area 6
Central Atlantic",0618737.79714,2023-07-07,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.165815,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.6515329,
Coastal Aquatics,urn:epc:class:lgtin:1335410.482445.c9cf3aac67291ef40,pollock,119,kg,"2023-06-01 - 2023-06-08
Major Fishing Area 2
Southern Atlantic",1335410.86120,2023-06-10,urn:epcglobal:epcis:LANDING.1335410,0,urn:epc:idpat:sgtin:1335410.482445,urn:epc:id:sgln:1335410.86120,urn:epc:id:pgln:1335410.86120,1335410.86120.4143052,
Sea Catches,urn:epc:class:lgtin:0741627.925973.ec444ce9eddf375b6,mackerel,828,lb,"2023-06-04 - 2023-06-10
Major Fishing Area 1
Southern Pacific",0741627.10885,2023-06-13,urn:epcglobal:epcis:LANDING.0741627,0,urn:epc:idpat:sgtin:0741627.925973,urn:epc:id:sgln:0741627.10885,urn:epc:id:pgln:0741627.10885,0741627.10885.8885271,
Sea Delights,urn:epc:class:lgtin:1375067.439036.40919f9b8847a7d48,swordfish,547,kg,"2023-07-06 - 2023-07-15
Major Fishing Area 7
Southern Pacific",1375067.65768,2023-07-16,urn:epcglobal:epcis:LANDING.1375067,0,urn:epc:idpat:sgtin:1375067.439036,urn:epc:id:sgln:1375067.65768,urn:epc:id:pgln:1375067.65768,1375067.65768.3145438,
Deep Delights,urn:epc:class:lgtin:0831833.635380.3cca487478f52a465,amberjack,357,lb,"2023-06-05 - 2023-06-12
Major Fishing Area 7
Central Atlantic",0831833.69717,2023-06-14,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.635380,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.6442035,
Fresh Bay,urn:epc:class:lgtin:1321636.707719.833db4d83ad262723,oysters,407,lb,"2023-07-03 - 2023-07-09
Major Fishing Area 10
Northern Pacific",1321636.98872,2023-07-10,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.707719,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.7270542,
Coastal Bay,urn:epc:class:lgtin:1364536.308914.65800c42384ed26d2,salmon,734,lb,"2023-07-18 - 2023-07-22
Major Fishing Area 4
Northern Atlantic",1364536.28487,2023-07-25,urn:epcglobal:epcis:LANDING.1364536,0,urn:epc:idpat:sgtin:1364536.308914,urn:epc:id:sgln:1364536.28487,urn:epc:id:pgln:1364536.28487,1364536.28487.4515539,
Coastal Mariscos,urn:epc:class:lgtin:1114768.379892.3138d91e402786601,tilapia,185,lb,"2023-06-29 - 2023-07-07
Major Fishing Area 1
Southern Atlantic",1114768.13145,2023-07-09,urn:epcglobal:epcis:LANDING.1114768,0,urn:epc:idpat:sgtin:1114768.379892,urn:epc:id:sgln:1114768.13145,urn:epc:id:pgln:1114768.13145,1114768.13145.2694422,
Deep Bay,urn:epc:class:lgtin:1225165.843329.0486284f94f729b6a,mussels,134,lb,"2023-07-12 - 2023-07-22
Major Fishing Area 3
Northern Atlantic",1225165.71855,2023-07-25,urn:epcglobal:epcis:LANDING.1225165,0,urn:epc:idpat:sgtin:1225165.843329,urn:epc:id:sgln:1225165.71855,urn:epc:id:pgln:1225165.71855,1225165.71855.9311455,
Fresh Aquatics,urn:epc:class:lgtin:0814012.262551.d621d6e11603b5877,pollock,292,lb,"2023-06-18 - 2023-06-24
Major Fishing Area 6
Northern Atlantic",0814012.13007,2023-06-27,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.262551,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.8078991,
Fresh Aquatics,urn:epc:class:lgtin:0814012.507883.d969704b70d350f54,trout,38,kg,"2023-06-03 - 2023-06-06
Major Fishing Area 4
Central Atlantic",0814012.13007,2023-06-08,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.507883,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.9320849,
Deep Delights,urn:epc:class:lgtin:0831833.336164.f6a2fcc3b166d271f,jack fish,737,lb,"2023-07-23 - 2023-07-31
Major Fishing Area 2
Northern Atlantic",0831833.69717,2023-08-03,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.336164,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.3295768,
Fresh Mariscos,urn:epc:class:lgtin:0615440.403109.c868083fce1cd12ca,tuna,400,lb,"2023-06-23 - 2023-07-01
Major Fishing Area 9
Southern Atlantic",0615440.57508,2023-07-04,urn:epcglobal:epcis:LANDING.0615440,0,urn:epc:idpat:sgtin:0615440.403109,urn:epc:id:sgln:0615440.57508,urn:epc:id:pgln:0615440.57508,0615440.57508.5677378,
Tidal Coast,urn:epc:class:lgtin:1392244.298401.a8c3f2b3ab6c04e64,barracuda,981,kg,"2023-06-24 - 2023-06-27
Major Fishing Area 3
Southern Atlantic",1392244.97244,2023-06-30,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.298401,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.2695313,
Wave Coast,urn:epc:class:lgtin:0675459.122590.c9f8396d974a8e8ba,mackerel,110,lb,"2023-06-19 - 2023-06-22
Major Fishing Area 7
Central Atlantic",0675459.59752,2023-06-24,urn:epcglobal:epcis:LANDING.0675459,0,urn:epc:idpat:sgtin:0675459.122590,urn:epc:id:sgln:0675459.59752,urn:epc:id:pgln:0675459.59752,0675459.59752.5667007,
