businessType,businessName,primaryPhone,streetAddress,city,state,zip,companyPrefix,sizeWeight,gln
farm,Whispering Fields Farm,739-741-5813,32531 Williams Course,Hoffmanshire,MA,44513,0762268,0.05,0762268.88119
restaurant,Charming Kitchen,(463)749-1987,70219 Amanda Lakes Suite 369,Ashleyfurt,RI,26502,1235051,0.15,1235051.59085
packaging,Green Box,6072137348,745 Collins Summit Suite 606,West Jonathan,DC,85609,1269686,0.05,1269686.94479
farm,Whispering Acres Farm,8729728506,255 Zachary Mount,Brownville,UT,83738,0825872,0.05,0825872.67657
seafoodFarm,Nautical Fish Haven,757-693-7973,658 Meadows Crest,South David,CA,88639,0942586,0.15,0942586.28254
farm,Lucky Harvest Farm,926-948-8971,90705 Jason Oval,Kaylastad,PA,78713,1166756,0.05,1166756.17508
distributor,Premium Distribution,(491)799-8909,61768 Robert Mountains,Joshuaport,HI,66886,0836146,0.05,0836146.52179
landBasedReceiver,Coastal Mariscos,(759)200-9798,296 Orr Avenue Apt. 656,West Amybury,DE,35016,0846545,0.05,0846545.14693
restaurant,Tasty Kitchen,9329209786,79980 Green Lodge,Timtown,MA,78267,1180702,0.8,1180702.26479
farm,Green Harvest Farm,(373)529-3126,449 Gloria Park Suite 604,East Stephanie,MN,91934,1023554,0.05,1023554.81942
farm,Golden Fields Farm,574-603-3664,0285 Rowe Forges,North Sandrashire,MT,06974,1258083,0.05,1258083.62323
packaging,Fresh Wraps,865-394-1889,903 Robin Hollow Apt. 942,North Rachel,MO,63179,0794837,0.05,0794837.10943
farm,Lucky Valley Farm,595-718-7702,160 Joseph Ridges Apt. 467,Aaronville,AK,34667,1273737,0.05,1273737.16239
groceryNoTransform,Fresh Store,930-667-2549,820 Armstrong Common,North Sarahland,PR,98859,0994705,0.15,0994705.84578
landBasedReceiver,Ocean Fisheries,2369887666,667 Diana Court,Lake Jamie,NY,05279,0852895,0.15,0852895.21586
landBasedReceiver,Tidal Maritime,(387)727-0498,6168 Gomez Street Suite 120,Tanyabury,MD,04858,0842166,0.05,0842166.53150
packaging,Eco Encase,(506)600-8767,816 Carlos Fields Suite 000,East Vanessa,OR,98579,1093254,0.05,1093254.82329
groceryNoTransform,Delicious Outlet,(905)275-1476,59237 Patterson Radial,North Wayneport,MO,35419,1360755,0.05,1360755.69505
distributor,Global Distributors,(689)842-5982,885 Madison Center Apt. 633,Jacksonbury,KS,50449,1043230,0.15,1043230.41185
distributor,International Imports,8275650690,87438 Christina Orchard,West Brandonmouth,ND,85232,1193565,0.15,1193565.82646
landBasedReceiver,Harbor Catches,(579)746-5538,303 Terri Ridge,Kingtown,OR,84980,0849861,0.05,0849861.41432
processor,Quality Foods,5326624437,2656 Zuniga Lodge,Lauraville,NH,03929,1281047,0.05,1281047.91266
processor,Pure Operations,(413)868-7937,957 Daniel Square,Michaelbury,WV,90175,1385412,0.05,1385412.10087
distributor,Superior Distribution,4729705635,6495 Debra Keys,Jensenton,MO,60810,0680912,0.15,0680912.97140
wholesaler,Prime Market,845-920-2674,4605 Rodriguez View Apt. 849,Sparksport,OK,07143,0842925,0.8,0842925.87490
processor,Premium Kitchen,822-499-4414,991 Eaton Passage Apt. 509,New Patrick,CT,19146,1248698,0.05,1248698.29188
restaurant,Savory Restaurant,654-330-7103,0823 Erik Cliffs Apt. 529,East Ashley,WV,53318,1371718,0.15,1371718.57783
grocery,Organic Outlet,714-871-7788,226 Susan Island Suite 637,Susanborough,NY,05495,0977414,0.15,0977414.44071
landBasedReceiver,Tidal Maritime,6622325428,733 James Mountains Apt. 286,North Laurie,NC,98220,0841036,0.05,0841036.42623
groceryNoTransform,Wholesome Mart,723-231-3878,37369 Paula Forges Apt. 099,East Tonyton,MP,03788,1184718,0.05,1184718.68069
landBasedReceiver,Tidal Catches,9079368686,3580 Elizabeth Causeway,West Sandraberg,CA,68623,1220781,0.15,1220781.89069
distributor,Quality Supply,(819)783-9540,5168 David Springs Apt. 433,North Megan,IA,93666,0983719,0.15,0983719.68690
packaging,Bio Solutions,(496)898-6875,7610 Rebecca Dam,Bergerview,LA,73234,1384719,0.15,1384719.81172
processor,Healthy Kitchen,7459542303,64123 Emily Curve,Lake Ryan,CT,01179,0785311,0.05,0785311.17709
restaurant,Flavorful Diner,521-839-9317,2986 Clark Well Apt. 997,Nicoleside,MO,07603,1298554,0.15,1298554.15495
processor,Quality Cuisine,277-774-3686,530 Heather Court Apt. 672,Thomasport,KY,60266,0745643,0.05,0745643.14826
processor,Innovative Industries,9043342600,96023 Austin Manors,East Dennis,MS,66500,1255298,0.15,1255298.82612
grocery,Gourmet Market,(730)410-4316,7313 Scott Cape Suite 607,South Mauriceport,PW,42023,0983898,0.05,0983898.45253
grocery,Gourmet Mart,488-845-9946,99229 Lisa Parkway Suite 176,West James,WY,27699,0871311,0.05,0871311.13678
distributor,Gourmet Services,8859630275,590 Cruz Park,Graceburgh,ID,46625,1246360,0.05,1246360.20060
packaging,Bio Encase,(608)721-8999,88590 Solis Ridge,South Nathanshire,NE,59516,0624025,0.15,0624025.40649
grocery,Tasty Emporium,943-467-7225,5437 Perez Underpass Suite 291,Tanyabury,KS,32407,1112679,0.15,1112679.93004
groceryNoTransform,Wholesome Mart,524-362-6021,20071 Atkinson Crescent,Lake Debbieton,DE,10865,1271057,0.05,1271057.70536
groceryNoTransform,Premium Grocery,5347950267,122 Sharon Corner Apt. 598,Lake Nicholas,OR,55188,0677650,0.05,0677650.13190
distributor,Reliable Distributors,(682)316-1736,50219 Parker Ford,Staffordstad,MD,21928,1298941,0.05,1298941.67597
processor,Healthy Foods,5372572756,9138 Donna Flat Suite 004,Rosefort,IN,56948,1097529,0.15,1097529.57299
farm,Golden Acres Farm,293-498-6540,82526 Dustin Harbors,Lake Robert,SC,15034,1214904,0.05,1214904.80449
grocery,Natural Corner,9508977638,1273 Danielle Streets,Larsenfort,NE,26728,0870426,0.05,0870426.81517
landBasedReceiver,Sea Catches,(794)436-5754,69915 Riley Falls,Jenkinsview,SC,44531,0722540,0.05,0722540.81756
groceryNoTransform,Delicious Emporium,(275)288-6320,456 Brian Estate Suite 569,East Heatherborough,IN,33495,1348120,0.8,1348120.53226
farm,Happy Acres Farm,7189632871,733 White Field Suite 275,Martinstad,SD,66131,0790905,0.15,0790905.53398
seafoodFarm,Nautical Aquafarm,6297584524,36089 Erickson Lights Suite 538,West Christopher,VA,11252,1192343,0.8,1192343.36569
landBasedReceiver,Tidal Bay,(710)531-5632,09686 Amy Gardens,East Kyle,ME,22387,0920719,0.05,0920719.84315
packaging,Innovative Encase,2867963785,29461 Anthony Divide,South Ashleyburgh,PR,02777,0869026,0.15,0869026.10589
landBasedReceiver,Coastal Catches,2267463514,44466 Townsend Groves,Johnhaven,MS,05963,1397477,0.05,1397477.69733
landBasedReceiver,Fresh Maritime,(730)985-4572,0290 Lara Mission Suite 421,Smithborough,NH,46985,1016573,0.05,1016573.25600
distributor,Reliable Supply,(896)962-5987,978 Nguyen Greens Apt. 700,Loriview,TX,34645,0626541,0.15,0626541.53260
distributor,Superior Services,2248028782,704 Dominique Points Suite 880,New Courtney,ND,93929,0662362,0.05,0662362.84518
processor,Natural Products,4922892476,120 Hernandez Mountains,South Angelastad,CT,16194,1189047,0.05,1189047.89330
landBasedReceiver,Coastal Catchers,(656)981-3572,9138 Johnson Pass,New Garystad,NJ,30592,0886007,0.05,0886007.57385
distributor,Global Exim,(396)656-7373,320 Wall Estates Suite 609,Stevenschester,AS,62843,1070575,0.05,1070575.77216
restaurant,Tasty Cafe,(811)971-9247,30381 Sharon Ports Suite 761,Georgefurt,HI,86406,0857139,0.05,0857139.82797
landBasedReceiver,Sea Catchers,732-887-5594,9854 Fuentes Valley Apt. 235,East Amanda,HI,55849,0929124,0.05,0929124.58823
wholesaler,Select Wholesale,791-574-9117,353 Stephanie Island,Nielsentown,ME,12594,0849299,0.15,0849299.27683
distributor,International Trade,(219)873-3923,77979 Harris Hills Apt. 403,Lake Elizabeth,SC,74992,0897994,0.05,0897994.64903
wholesaler,Best Supplies,2982106350,41458 Torres Station Suite 814,Autumnberg,ND,57787,0633520,0.8,0633520.39457
processor,Organic Foods,9959454048,619 Michael Spring,Lake Madisonfort,OK,64089,0871946,0.15,0871946.97579
grocery,Wholesome Grocery,732-348-1992,47700 Santos Gardens Suite 874,Jenniferside,WV,99193,1388458,0.15,1388458.84611
distributor,Superior Distributors,229-570-7752,33032 Rich Squares Suite 027,East Mitchellport,NY,48801,0649249,0.15,0649249.92352
grocery,Premium Mart,7464979812,279 Estes Pike,Justinville,MN,68864,1359315,0.15,1359315.98694
farm,Golden Fields Farm,2933467788,9166 Jason Mill Apt. 570,North Christina,WV,99824,0787285,0.8,0787285.20206
packaging,Fresh Box,(288)355-1381,25655 Browning Orchard Apt. 773,Grimeschester,TN,67793,1385038,0.05,1385038.87812
restaurant,Gourmet Tavern,616-685-7103,63455 Maurice Drives,Adamfurt,MH,97840,0850409,0.05,0850409.58888
grocery,Healthy Bazaar,8578008369,65467 Caitlin Pass,Youngmouth,MP,07603,0871745,0.05,0871745.44436
wholesaler,Select Distributors,(330)390-7202,982 Fletcher Estates,Taylorville,GA,38643,1089810,0.05,1089810.25220
distributor,Global Logistics,316-480-8045,52868 Amy Ports Apt. 500,East Nicholas,NJ,85086,1265211,0.8,1265211.46604
farm,Misty Fields Farm,8558122942,09912 Marvin Forge Suite 932,Nuneztown,MH,14624,0916233,0.05,0916233.93263
restaurant,Savory Eatery,(367)283-3456,64656 Rodriguez Land,Joannshire,DC,61723,0781805,0.05,0781805.79967
restaurant,Gourmet Bistro,7168594433,7059 William Prairie,South Kylieborough,AZ,91371,1385914,0.05,1385914.45662
wholesaler,Prime Foods,9232374037,9620 Heather Forest Suite 504,Ayershaven,SD,19105,0914450,0.05,0914450.68622
farm,Lucky Hills Farm,871-422-0001,34672 Boyd Glens,Lake Sharon,MN,65201,0920383,0.05,0920383.81614
distributor,Quality Supply,(518)700-7528,9432 Farley Stream,Port Cristina,FL,04304,1117948,0.05,1117948.49899
farm,Whispering Valley Farm,(715)913-7507,91293 Berry Isle Apt. 536,North Cherylfort,IL,94185,1176908,0.05,1176908.69982
distributor,Fine Exim,686-909-5408,980 White Lock Apt. 504,Randyville,KS,02557,1315294,0.15,1315294.26222
groceryNoTransform,Tasty Bazaar,3405678347,531 Martinez Springs,North Tanyafurt,AR,60353,0918972,0.05,0918972.79559
farm,Happy Meadows Farm,233-321-9853,13173 Jade Locks Suite 792,Courtneyview,GA,24909,1050252,0.05,1050252.56630
restaurant,Exquisite Brasserie,(458)453-4129,67508 Rebecca Lodge Suite 397,Randolphtown,TN,50625,1271580,0.8,1271580.66837
groceryNoTransform,Healthy Mart,621-317-3027,07946 Atkinson Lock Suite 463,North Jessicastad,MT,49961,1293281,0.15,1293281.39765
grocery,Fresh Bazaar,(744)935-6688,407 Kelly Views Suite 859,Richardstad,MI,87009,0860996,0.15,0860996.55978
restaurant,Cozy Bistro,655-979-5420,433 David Row,Kelliville,SD,29396,1234660,0.05,1234660.99265
farm,Peaceful Grove Farm,3237711060,5781 Miller Stravenue,West Edwardfort,WY,71453,1374708,0.05,1374708.47904
farm,Peaceful Orchard Farm,(793)646-5948,7026 Lisa Circles Apt. 431,Nicholsonshire,WI,39321,1113702,0.05,1113702.24067
restaurant,Gourmet Restaurant,(781)992-2153,26836 Morales Keys,Crystalberg,MH,27368,0770962,0.8,0770962.68442
farm,Golden Pastures Farm,(572)548-8037,061 Timothy Plaza Suite 971,Gutierrezland,MD,75314,1311690,0.05,1311690.45634
packaging,Advanced Box,960-250-6095,9536 Charles Road,New James,CT,93462,1327342,0.05,1327342.87777
packaging,Fresh Solutions,760-890-3590,9590 Christopher Burgs,Jessicaport,NY,58677,1025537,0.15,1025537.80964
restaurant,Gourmet Cafe,855-428-5079,261 Vaughn Island,Youngport,VI,17043,0887431,0.05,0887431.16604
grocery,Organic Bazaar,234-790-8786,6588 Jennifer Walks,Hansonbury,WY,82154,1098618,0.05,1098618.76057
wholesaler,Gourmet Supplies,356-804-2226,2751 Ashley Forest,Joshuaville,ND,08134,1386019,0.15,1386019.33681
landBasedReceiver,Aqua Delights,(374)780-6999,721 Myers Cape Suite 696,Juanbury,TX,97555,0679814,0.05,0679814.42922
seafoodFarm,Ocean Fish Farm,769-985-6298,33089 Brooks Lights,Katherineland,TX,53965,1086077,0.05,1086077.75444
seafoodFarm,Aqua Fish Haven,9688910783,7720 Lynch Tunnel,Jenniferfort,VA,13448,1153923,0.05,1153923.59839
distributor,Global Exim,802-403-3517,7798 Richard Summit Apt. 692,North Sarahfurt,VA,77236,0649303,0.15,0649303.46521
seafoodFarm,Sea Aquaculture,(747)803-1501,0270 Joseph Crest,New Ginaport,MA,04596,0849843,0.05,0849843.98962
restaurant,Tasty Tavern,4532236305,72729 Rachel Trace,Sanchezland,ID,72170,1371346,0.05,1371346.68835
grocery,Premium Emporium,786-845-0755,293 Alexander Ridge,New Megan,ND,43641,1178497,0.05,1178497.40516
processor,Global Operations,967-842-0420,006 Miller Glen Suite 792,New Alexisbury,NH,91244,0683120,0.15,0683120.42415
distributor,Quality Exim,580-862-2221,488 Snyder Vista,Courtneyside,DE,06918,1081759,0.15,1081759.47983
processor,Quality Kitchen,941-298-5324,92947 Julie Causeway,New Anthonystad,SD,65328,1051215,0.05,1051215.56448
groceryNoTransform,Fine Foods,6313248852,006 Ashley Fork Suite 974,Avilastad,DC,47685,1219801,0.05,1219801.86103
landBasedReceiver,Fresh Mariscos,(411)528-9828,5534 Rebecca Fall,New Jacobmouth,NJ,95043,1152764,0.05,1152764.76179
packaging,Bio Packaging,4016738766,30645 David Corner,Gillespiefurt,HI,23679,1313683,0.05,1313683.21609
packaging,Premium Pack,4185578541,371 Griffin Shores Suite 927,Port Erinborough,NH,15229,0850439,0.15,0850439.90043
distributor,Trusted Services,4477732050,43917 Williams Pike,Lake Jamesmouth,DC,73737,1062635,0.05,1062635.58799
groceryNoTransform,Gourmet Market,491-309-4476,107 Alexandra Freeway,North Stephanieview,MP,65562,1222647,0.8,1222647.47113
processor,Innovative Kitchen,713-536-8958,919 Eric Canyon,Harrishaven,ID,66126,0784244,0.8,0784244.89130
farm,Peaceful Acres Farm,(699)635-5966,835 Smith Overpass Suite 733,Leechester,AL,63358,1090530,0.15,1090530.76120
distributor,International Distribution,909-812-3888,98512 Riley Gardens,West Carol,HI,16854,1384586,0.05,1384586.48610
grocery,Fresh Mart,221-872-1133,3991 Walter Corners Suite 654,Robinside,IA,91892,1091920,0.05,1091920.53103
seafoodFarm,Nautical Aquafarm,608-646-5983,656 Miranda Cliff Suite 430,North William,CT,05780,0960955,0.15,0960955.84982
wholesaler,Top Trading,(418)575-7089,835 Mary Union Apt. 745,Rodriguezville,SD,45265,1032623,0.15,1032623.46662
seafoodFarm,Sea Aquafarm,3794789902,7513 Eric Brook,West Hannahside,GA,56941,0797768,0.05,0797768.10695
wholesaler,Quality Trading,4803527597,139 Harold Highway Suite 018,Deannachester,GU,31547,0865654,0.05,0865654.83440
processor,Natural Manufacturing,(873)466-9914,931 Bradley Pass,Heathershire,FM,76781,0956379,0.05,0956379.68815
distributor,Global Distribution,981-681-9748,7607 Larry River,Rachelbury,GA,30705,0974970,0.05,0974970.35250
groceryNoTransform,Wholesome Market,7699775684,1947 Jackson Keys Apt. 288,Port Ericborough,HI,41584,0664777,0.8,0664777.71912
grocery,Fresh Foods,9056993418,859 Brian Lodge Apt. 780,West Frank,VT,97294,0989675,0.05,0989675.24368
packaging,Premium Box,200-280-2315,49094 Steven Shores,Glenntown,MD,88402,0651601,0.8,0651601.33292
packaging,Green Box,2604467984,96505 Soto Lakes Apt. 196,Terrishire,WI,07176,1019652,0.15,1019652.96323
packaging,Innovative Encase,729-267-3851,6604 Michael Path Apt. 967,Brandonport,VT,64214,0990682,0.05,0990682.40375
landBasedReceiver,Tidal Mariscos,797-720-7532,25699 Kyle Pike Suite 713,Millerborough,OR,38225,0632226,0.15,0632226.59917
distributor,Reliable Imports,7809218171,387 Williams Meadows Apt. 649,New Charles,AR,51720,1022707,0.05,1022707.72960
landBasedReceiver,Aqua Aquatics,(426)545-2299,26276 Walker Ways,Scottborough,NY,74649,0695923,0.15,0695923.83700
groceryNoTransform,Tasty Corner,3857507451,411 Humphrey Station,North Jenniferside,CO,15551,0919539,0.15,0919539.45097
farm,Whispering Pastures Farm,4055995326,90695 Desiree Mews Suite 577,Lake David,ND,82939,1399800,0.15,1399800.80862
restaurant,Authentic Restaurant,3374847971,32643 Jonathan Canyon,Perezfort,NC,76450,0838545,0.05,0838545.15420
grocery,Fresh Corner,(650)907-5072,82940 Shelia Inlet Apt. 575,Amberhaven,TN,27449,1261458,0.15,1261458.74184
restaurant,Cozy Cuisine,291-921-3761,89686 Glass Circle Apt. 054,Alexandertown,AS,96505,1261735,0.15,1261735.61027
grocery,Gourmet Outlet,7034092123,959 Weaver Courts,Aguirremouth,CA,16207,0929574,0.8,0929574.18558
landBasedReceiver,Coastal Delights,8567830575,1589 Green Alley Suite 710,Castilloborough,DE,04452,0629337,0.15,0629337.36048
seafoodFarm,Sea Fishery,(695)563-5916,9637 Johnson Roads Apt. 412,New James,CA,10486,0616038,0.8,0616038.66289
packaging,Quality Wrap,(420)626-4225,016 Paul Ville Suite 673,Masseyburgh,MP,99211,0740510,0.15,0740510.98184
restaurant,Cozy Tavern,(647)865-4916,7389 Patricia Light,Reeseberg,GA,97065,1039546,0.05,1039546.28547
wholesaler,Best Market,4509184753,21596 Olson Trace Apt. 658,New Johnathanchester,MO,95211,0872788,0.05,0872788.60381
packaging,Secure Box,(618)602-0918,727 Kathy Rest,South Sandra,VT,07421,1263389,0.15,1263389.77911
restaurant,Exquisite Tavern,879-488-8378,20519 Ariel Corners,Joanneton,NJ,02313,0681596,0.05,0681596.11307
packaging,Secure Wrap,831-544-4847,71090 Angela Coves,Garciaville,VI,97956,1065383,0.15,1065383.86878
distributor,Fine Supply,(434)999-5518,2019 Reeves Union Suite 622,West Zacharyside,FL,65435,0619822,0.05,0619822.18111
processor,Natural Operations,772-480-4033,80770 Gray Station,East Jamesmouth,ND,89671,1028670,0.15,1028670.15510
seafoodFarm,Marine Fishery,775-502-2358,10560 Yu Dam,Rodrigueztown,AK,84245,1173372,0.05,1173372.69779
distributor,Quality Distribution,(902)382-3677,98437 Dennis Divide Apt. 406,East Meagan,TX,08651,0715608,0.05,0715608.77899
farm,Golden Orchard Farm,(525)421-7716,0456 Valencia Lights Apt. 455,Schultzbury,IL,71136,0634042,0.05,0634042.92322
landBasedReceiver,Ocean Catchers,(316)708-0607,375 Fox Valley Apt. 399,Brownberg,AK,19248,1349270,0.05,1349270.43403
packaging,Premium Seal,8913389977,45650 Shannon Fall Apt. 214,Elizabethborough,FM,49741,0647861,0.05,0647861.48514
seafoodFarm,Aqua Fish Haven,5476036541,85131 Nathan Knolls,West Emma,ME,83269,0949805,0.05,0949805.40724
grocery,Delicious Outlet,(616)404-3944,3200 Stephen Haven Suite 000,New David,VT,66558,0779971,0.05,0779971.68380
seafoodFarm,Sea Fish Haven,483-836-4136,8316 Soto Wall Apt. 851,North Ryanton,NH,16483,0690649,0.05,0690649.98172
landBasedReceiver,Fresh Catchers,(444)248-6229,09630 Amanda Springs Suite 184,Williamsland,RI,95595,0762752,0.05,0762752.65698
packaging,Premium Pack,237-416-1937,7363 Matthew Forge,South Bryanberg,GU,68660,1256071,0.15,1256071.81690
processor,Natural Provisions,355-333-0238,614 Johnson Track Suite 932,East Jessicaville,WY,85470,0913889,0.05,0913889.80163
seafoodFarm,Nautical Fish Haven,8039755889,0279 Hayes Lodge,West Jessicamouth,DE,59397,0816335,0.15,0816335.40925
processor,Healthy Foods,8515187714,921 Eric Drive Suite 543,New Marissaside,NV,09825,1298336,0.15,1298336.83143
groceryNoTransform,Delicious Emporium,767-850-3671,14099 Sharon Passage,Reyesborough,DE,69216,1378742,0.15,1378742.49469
groceryNoTransform,Gourmet Outlet,6743893046,97552 Lopez Loaf Apt. 028,Jamesfort,PA,62630,0925647,0.05,0925647.32103
farm,Lucky Pastures Farm,(501)514-7083,420 Nicholas Fall Suite 132,New Tabithaland,MS,74044,0975211,0.15,0975211.98898
landBasedReceiver,Harbor Aquatics,(813)323-8038,79686 Johnson Haven Apt. 884,Lake Ryan,TX,88497,0843929,0.05,0843929.10237
restaurant,Delicious Eatery,(954)577-3101,6402 Jeffrey Estates Suite 636,New Robertville,IN,20989,0799709,0.05,0799709.64590
distributor,Reliable Wholesalers,7329030796,6291 Snyder Stravenue Suite 279,Summerstown,KS,81339,1162074,0.8,1162074.19904
distributor,Superior Wholesalers,848-673-1759,7301 Michelle Centers Apt. 657,Graveshaven,WV,43917,1397418,0.15,1397418.63133
restaurant,Savory Restaurant,(936)573-4377,593 Bailey Rapid Apt. 653,South Thomasfurt,CA,29335,1118929,0.05,1118929.87900
packaging,Eco Encase,3148048109,35300 Mays Dale Apt. 572,South Aaronland,KS,25007,0631757,0.05,0631757.75036
wholesaler,Quality Distributors,515-408-1284,928 Alexandra Cliffs Apt. 128,Johnfort,OR,97813,1085127,0.05,1085127.13129
wholesaler,Premium Imports,(789)417-3534,811 Johnson Cliffs Apt. 581,Patriciachester,IA,57232,0819785,0.05,0819785.38150
farm,Peaceful Hills Farm,7498057700,509 Perry Drives Apt. 677,East Albertside,MS,51131,1152661,0.05,1152661.97994
wholesaler,Quality Foods,4418015302,7400 Humphrey Spurs Suite 250,Lake Emilyfort,MT,70903,1217581,0.05,1217581.45618
wholesaler,Fresh Supplies,682-923-4458,247 Scott Shoals,East Cassidymouth,WY,99120,0790748,0.05,0790748.87979
processor,Premium Industries,4869575550,023 Ortiz Rapid,New Felicia,MT,75558,0824114,0.15,0824114.54604
wholesaler,Top Foods,2929570314,86964 Peterson Parkway Apt. 926,Kellymouth,FM,50151,0646853,0.8,0646853.35055
groceryNoTransform,Gourmet Market,(234)261-7624,544 Roy Drives,East Jonathanton,CO,92390,1137521,0.8,1137521.60892
restaurant,Delicious Kitchen,974-467-6825,345 Brown Plains,Johnborough,AK,57639,1173504,0.05,1173504.74076
processor,Natural Kitchen,240-837-3730,49473 James Stravenue Suite 297,Karenburgh,NH,37881,0699292,0.05,0699292.55338
processor,Natural Kitchen,351-837-4751,1099 Miller Fields Apt. 710,South Sean,DE,16599,0933698,0.15,0933698.86444
farm,Peaceful Acres Farm,(885)202-3127,91110 Williams Hollow,Davischester,CA,60718,0610215,0.05,0610215.73716
grocery,Fresh Shop,(316)712-9229,6545 Patrick Loaf Apt. 694,Amandaview,SC,13098,1056539,0.05,1056539.97080
groceryNoTransform,Healthy Store,331-932-0337,1654 Kim Turnpike,Port Amber,GU,58741,0736272,0.05,0736272.51541
packaging,Eco Containers,654-857-8700,188 Christina Bridge,New Richardberg,RI,68884,1239249,0.05,1239249.47514
packaging,Innovative Box,(561)799-6464,00635 Young Hollow,East Thomas,IN,68791,1320887,0.15,1320887.36519
packaging,Green Encase,(929)888-8852,94416 Ann Harbor Apt. 748,Sharonstad,CA,96381,0788966,0.05,0788966.96712
restaurant,Cozy Diner,6296494569,803 Kerry Plaza,Paulamouth,MA,46821,1334227,0.05,1334227.59736
landBasedReceiver,Coastal Delights,632-640-4459,01520 Zhang Mill,Port Zachary,VA,69997,0949273,0.05,0949273.47059
distributor,Reliable Trade,722-538-4272,2686 Marc Shore Apt. 949,Mccarthyton,AK,98225,0936995,0.05,0936995.41419
packaging,Fresh Wraps,(235)207-4913,232 Schultz Courts,Alexborough,ND,44385,1395295,0.05,1395295.95956
grocery,Delicious Market,(904)629-8549,90175 Lisa Brook Suite 131,West Allenshire,PR,29133,0684013,0.05,0684013.16372
landBasedReceiver,Ocean Seafoods,6056269836,41259 Joseph Harbors Apt. 379,Hoganstad,ME,72275,1296690,0.15,1296690.48929
processor,Natural Manufacturing,5853044478,719 Price Groves,Lake Johnfort,MN,34158,0796749,0.05,0796749.46156
restaurant,Tasty Kitchen,288-536-8393,6363 Donna Glen,North Katherinechester,OH,08144,0955612,0.8,0955612.18888
processor,Pure Solutions,(568)711-1949,1390 Knight Loop Apt. 298,Richardside,WY,57250,0878168,0.8,0878168.19558
grocery,Delicious Outlet,6705243611,45146 Carter Mills Apt. 359,New Michael,VT,26362,1384570,0.05,1384570.70602
processor,Global Kitchen,265-719-4484,9876 Kelly Court Suite 564,Jeffreyville,HI,67640,0826677,0.05,0826677.58920
seafoodFarm,Nautical Aquaculture,6649073472,66603 Mary Canyon,West Anthony,SC,76437,0993831,0.05,0993831.48633
farm,Green Fields Farm,9264050601,527 Wilcox Forks Suite 673,Port Theresa,CT,37827,1065928,0.05,1065928.55565
restaurant,Delicious Cuisine,(304)892-6349,35341 John Landing Suite 898,New Brendanchester,OK,48965,1362898,0.05,1362898.74001
farm,Misty Acres Farm,(822)251-3178,16347 Erin Divide,Jonathanfurt,NV,36297,1190598,0.15,1190598.98470
processor,Innovative Cuisine,548-751-3742,176 Nicole Village Apt. 782,Owenston,WV,69724,0682870,0.15,0682870.96771
distributor,Premium Distributors,7409770830,936 John Lakes,New Jacqueline,MS,54491,1167493,0.05,1167493.40112
landBasedReceiver,Deep Fisheries,2563736255,097 White Village Apt. 352,New Michaelborough,AK,86140,0768260,0.05,0768260.54727
restaurant,Gourmet Eatery,(746)581-1621,5429 Williams Mountain Apt. 308,Oconnorside,MH,72422,1026074,0.05,1026074.96614
groceryNoTransform,Tasty Emporium,697-501-1839,4669 Jamie Stravenue Suite 552,Thomashaven,SD,02377,0911849,0.15,0911849.52405
packaging,Bio Wraps,(485)756-7076,1698 Rasmussen River Apt. 518,Kiddland,NV,69032,1069449,0.05,1069449.90593
landBasedReceiver,Ocean Fisheries,7442765373,65420 Barnett Village,East Joshuashire,NC,61291,0853429,0.05,0853429.95587
distributor,Trusted Exim,346-692-6948,75011 Hammond Plains,Wilsonfort,ME,21695,0656342,0.05,0656342.79521
processor,Innovative Kitchen,9589699882,9106 Johns Drive,Noblehaven,RI,54939,0827956,0.15,0827956.66288
distributor,Reliable Supply,501-540-7316,905 Taylor Island Suite 553,Juliaton,OK,61994,0933914,0.05,0933914.72807
restaurant,Delicious Brasserie,8469507379,611 Ashley Land Apt. 885,Laurieborough,ME,11047,0980663,0.15,0980663.16743
farm,Golden Orchard Farm,9682227492,2284 Nixon Rapids,Jamieburgh,NJ,33070,0750763,0.15,0750763.98631
farm,Misty Valley Farm,974-378-3337,8345 Tiffany Trail,South Ginafort,CT,39201,0777226,0.05,0777226.83832
farm,Lucky Grove Farm,4647238028,5571 Bryan Pike Apt. 504,South Anne,GU,47467,0822341,0.05,0822341.80571
grocery,Natural Foods,554-872-1598,031 Lawrence Port,New Joseph,MA,49987,1337605,0.15,1337605.67909
grocery,Healthy Outlet,(283)656-4861,06791 Matthew Causeway,Colemanshire,PR,53822,0813666,0.05,0813666.43188
restaurant,Exquisite Eatery,(597)397-9983,82914 Matthew Ramp Suite 344,Barnesfort,GU,77994,1253930,0.15,1253930.18490
groceryNoTransform,Delicious Shop,293-254-6607,138 James Track Suite 662,Medinahaven,MH,08888,0765930,0.15,0765930.99555
packaging,Quality Solutions,(496)881-4659,504 Mark Greens,East Mariostad,MD,97157,0830332,0.05,0830332.64775
distributor,Quality Distributors,4038358101,612 Christina Burgs,East Craigville,TX,96399,1396499,0.05,1396499.70138
landBasedReceiver,Marine Delights,(754)604-2840,5718 Paul Ways Apt. 190,Port Heidi,NC,41100,0990493,0.15,0990493.24933
groceryNoTransform,Delicious Outlet,(704)610-7541,1234 Lawrence Mountain,Earltown,AL,39340,0713095,0.05,0713095.63662
farm,Golden Acres Farm,5695936224,0024 Kimberly Hills,South Robert,MP,11041,0627876,0.05,0627876.57598
